id,osm_id,name,type,other_tags
"1","1867332",438路：永丰公交场站 -> 二里庄,route,"""fee""=>""yes"",""from""=>""永丰公交场站"",""name:zh""=>""438路：永丰公交场站 -> 二里庄"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京"
"2","1867333",438路：二里庄 -> 永丰公交场站,route,"""fee""=>""yes"",""from""=>""二里庄"",""name:zh""=>""438路：二里庄 -> 永丰公交场站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"3","1867423",398路：五道口公交场站 -> 育新小区,route,"""fee""=>""yes"",""from""=>""五道口公交场站"",""name:zh""=>""398路：五道口公交场站 -> 育新小区"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh"""
"4","1875934",16路：动物园枢纽站 -> 二里庄,route,"""fee""=>""yes"",""from""=>""动物园枢纽站"",""name:zh""=>""16路：动物园枢纽站 -> 二里庄"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京�"
"5","1875942",26路：红莲南里 -> 二里庄,route,"""fee""=>""yes"",""from""=>""红莲南里"",""name:zh""=>""26路：红莲南里 -> 二里庄"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""open"
"6","1876005",885路：德胜门西 -> 昌平何营,route,"""fee""=>""yes"",""from""=>""德胜门西"",""name:zh""=>""885路：德胜门西 -> 昌平何营"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"7","1876040",872路：马甸桥南 -> 长陵,route,"""fee""=>""yes"",""from""=>""马甸桥南"",""name:zh""=>""872路：马甸桥南 -> 长陵"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""openin"
"8","1876050",877路：地铁北土城站 -> 八达岭长城,route,"""fee""=>""yes"",""from""=>""地铁北土城站"",""name:en""=>""Bus 877: Beitucheng Subway Station => Badaling Greatwall"",""name:zh""=>""877路：地铁北土城站 -> 八达岭长城"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikida"
"9","1876060",919路快车：德胜门西 -> 京张路口北,route,"""fee""=>""yes"",""from""=>""德胜门西"",""name:zh""=>""919路快车：德胜门西 -> 京张路口北"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京"
"10","1876099",877路：八达岭长城 -> 地铁北土城站,route,"""fee""=>""yes"",""from""=>""八达岭长城"",""name:en""=>""Bus 877: Badaling Greatwall => Beitucheng Subway Station"",""name:zh""=>""877路：八达岭长城 -> 地铁北土城站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata"""
"11","1877247",919路快车：京张路口北 -> 德胜门西,route,"""fee""=>""yes"",""from""=>""京张路口北"",""name:zh""=>""919路快车：京张路口北 -> 德胜门西"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北"
"12","1877447",919路快车：延庆电信局 -> 德胜门西,route,"""fee""=>""yes"",""from""=>""延庆电信局"",""interval""=>""30"",""name:zh""=>""919路快车：延庆电信局 -> 德胜门西"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"","""
"13","1877542",407路：马连店 -> 惠新东桥西,route,"""fee""=>""yes"",""from""=>""马连店"",""name:zh""=>""407路：马连店 -> 惠新东桥西"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""ope"
"14","1877546",478路：小辛庄村 -> 学知桥北,route,"""fee""=>""yes"",""from""=>""小辛庄村"",""name:zh""=>""478路：小辛庄村 -> 学知桥北"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"15","1877548",625路：二拨子新村 -> 德胜门,route,"""fee""=>""yes"",""from""=>""二拨子新村"",""name:zh""=>""625路：二拨子新村 -> 德胜门"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"
"16","1877553",607路：宏福苑小区西 -> 和平东桥,route,"""fee""=>""yes"",""from""=>""宏福苑小区西"",""name:zh""=>""607路：宏福苑小区西 -> 和平东桥"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北"
"17","1877558",307路：龙域北街东口 -> 巴沟村,route,"""fee""=>""yes"",""from""=>""龙域北街东口"",""name:zh""=>""307路：龙域北街东口 -> 巴沟村"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京"
"32","1947485",478路：学知桥北 -> 小辛庄村,route,"""fee""=>""yes"",""from""=>""学知桥北"",""name:zh""=>""478路：学知桥北 -> 小辛庄村"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"18","1877564",345路：昌平北站 -> 德胜门西,route,"""fee""=>""yes"",""from""=>""昌平北站"",""name:zh""=>""345路：昌平北站 -> 德胜门西"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"19","1877569",670路：百善公交场站 -> 德胜门西,route,"""fee""=>""yes"",""from""=>""百善公交场站"",""name:zh""=>""670路：百善公交场站 -> 德胜门西"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北"
"20","1877897",883路：南口西站 -> 德胜门西,route,"""fee""=>""yes"",""from""=>""南口西站"",""name:zh""=>""883路：南口西站 -> 德胜门西"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"21","1877898",889路：昌平何营 -> 地铁北土城站,route,"""fee""=>""yes"",""from""=>""昌平何营"",""name:zh""=>""889路：昌平何营 -> 地铁北土城站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公"
"22","1877917",693路：育新小区 -> 阜永路口西,route,"""fee""=>""yes"",""from""=>""育新小区"",""name:zh""=>""693路：育新小区 -> 阜永路口西"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"
"23","1877931",603路：清河火车站 -> 六里桥长途站,route,"""fee""=>""yes"",""from""=>""清河火车站"",""name:zh""=>""603路：清河火车站 -> 六里桥长途站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北"
"24","1877950",609路：西三旗 -> 金庄,route,"""fee""=>""yes"",""from""=>""西三旗"",""name:zh""=>""609路：西三旗 -> 金庄"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""opening_hour"
"25","1886119",307路：巴沟村 -> 龙域北街东口,route,"""fee""=>""yes"",""from""=>""巴沟村"",""name:zh""=>""307路：巴沟村 -> 龙域北街东口"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"26","1887940",450路：来广营北 -> 田村半壁店东,route,"""fee""=>""yes"",""from""=>""来广营北"",""name:zh""=>""450路：来广营北 -> 田村半壁店东"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公"
"27","1887945",466路：地铁北苑站 -> 中关村南,route,"""fee""=>""yes"",""from""=>""地铁北苑站"",""name:zh""=>""466路：地铁北苑站 -> 中关村南"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公"
"28","1887953",355路：育新小区 -> 三义庙,route,"""fee""=>""yes"",""from""=>""育新小区"",""name:zh""=>""355路：育新小区 -> 三义庙"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""ope"
"29","1887961",450路：田村半壁店东 -> 来广营北,route,"""fee""=>""yes"",""from""=>""田村半壁店东"",""name:zh""=>""450路：田村半壁店东 -> 来广营北"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北"
"30","1887967",466路：中关村南 -> 地铁北苑站,route,"""fee""=>""yes"",""from""=>""中关村南"",""name:zh""=>""466路：中关村南 -> 地铁北苑站"",""name:zh-Hans""=>""466路: 中关村南 => 地铁北苑站"",""name:zh-Hant""=>""466路: 中關村南 => 地鐵北苑站"",""network""=>""北京公交"",""network:en""=>""Beijing"
"31","1887970",355路：三义庙 -> 育新小区,route,"""fee""=>""yes"",""from""=>""三义庙"",""name:zh""=>""355路：三义庙 -> 育新小区"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""openin"
"33","1947486",607路：和平东桥 -> 宏福苑小区西,route,"""fee""=>""yes"",""from""=>""和平东桥"",""name:zh""=>""607路：和平东桥 -> 宏福苑小区西"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公"
"34","1958849",490路：宝盛里小区 -> 惠新东桥西,route,"""fee""=>""yes"",""from""=>""宝盛里小区"",""name:zh""=>""490路：宝盛里小区 -> 惠新东桥西"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京"
"35","1958850",618路：龙锦苑东五区南门 -> 月坛体育场,route,"""fee""=>""yes"",""from""=>""龙锦苑东五区南门"",""name:zh""=>""618路：龙锦苑东五区南门 -> 月坛体育场"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""ne"
"36","1960418",693路：阜永路口西 -> 育新小区,route,"""fee""=>""yes"",""from""=>""阜永路口西"",""name:zh""=>""693路：阜永路口西 -> 育新小区"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公"
"37","1960429",392路：海淀桥东 -> 西二旗北站,route,"""fee""=>""yes"",""from""=>""海淀桥东"",""name:zh""=>""392路：海淀桥东 -> 西二旗北站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"
"38","1965969",484路：北医三院 -> 北苑家园,route,"""fee""=>""yes"",""from""=>""北医三院"",""name:zh""=>""484路：北医三院 -> 北苑家园"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"39","1965970",490路：惠新东桥西 -> 宝盛里小区,route,"""fee""=>""yes"",""from""=>""惠新东桥西"",""name:zh""=>""490路：惠新东桥西 -> 宝盛里小区"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京"
"40","1965975",603路：六里桥长途站 -> 清河火车站,route,"""fee""=>""yes"",""from""=>""六里桥长途站"",""name:zh""=>""603路：六里桥长途站 -> 清河火车站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>"""
"41","1966070",510路：双泉堡东 -> 杏坛路,route,"""fee""=>""yes"",""from""=>""双泉堡东"",""name:zh""=>""510路：双泉堡东 -> 杏坛路"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""ope"
"42","1976656",407路：惠新东桥西 -> 马连店,route,"""fee""=>""yes"",""from""=>""惠新东桥西"",""name:zh""=>""407路：惠新东桥西 -> 马连店"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"
"43","1980468",16路：二里庄 -> 动物园枢纽站,route,"""fee""=>""yes"",""from""=>""二里庄"",""name:zh""=>""16路：二里庄 -> 动物园枢纽站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""o"
"44","2084371",398路：育新小区 -> 五道口公交场站,route,"""fee""=>""yes"",""from""=>""育新小区"",""name:zh""=>""398路：育新小区 -> 五道口公交场站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京"
"45","2088800",618路：月坛体育场 -> 龙锦苑东五区南门,route,"""fee""=>""yes"",""from""=>""月坛体育场"",""name:zh""=>""618路：月坛体育场 -> 龙锦苑东五区南门"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh"""
"46","2095894",872路：长陵 -> 马甸桥南,route,"""fee""=>""yes"",""from""=>""长陵"",""name:zh""=>""872路：长陵 -> 马甸桥南"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""opening_hour"
"47","2095920",889路：地铁北土城站 -> 昌平何营,route,"""fee""=>""yes"",""from""=>""地铁北土城站"",""name:zh""=>""889路：地铁北土城站 -> 昌平何营"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北"
"48","2095924",345路快车：德胜门西 -> 朝凤庵村,route,"""fee""=>""yes"",""from""=>""德胜门西"",""name:zh""=>""345路快车：德胜门西 -> 朝凤庵村"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公"
"49","2095930",883路：德胜门西 -> 南口西站,route,"""fee""=>""yes"",""from""=>""德胜门西"",""name:zh""=>""883路：德胜门西 -> 南口西站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"50","2095955",886路：德胜门西 -> 北京蟒山森林公园,route,"""fee""=>""yes"",""from""=>""德胜门西"",""name:zh""=>""886路：德胜门西 -> 北京蟒山森林公园"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北"
"51","2110982",886路：北京蟒山森林公园 -> 德胜门西,route,"""fee""=>""yes"",""from""=>""北京蟒山森林公园"",""name:zh""=>""886路：北京蟒山森林公园 -> 德胜门西"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""netwo"
"52","2142621",26路：二里庄 -> 红莲南里,route,"""fee""=>""yes"",""from""=>""二里庄"",""name:zh""=>""26路：二里庄 -> 红莲南里"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""opening"
"53","2156308",484路：北苑家园 -> 北医三院,route,"""fee""=>""yes"",""from""=>""北苑家园"",""name:zh""=>""484路：北苑家园 -> 北医三院"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"54","2162585",518路：慧忠里 -> 西山林语公交场站,route,"""fee""=>""yes"",""from""=>""慧忠里"",""name:zh""=>""518路：慧忠里 -> 西山林语公交场站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公"
"55","2162612",518路：西山林语公交场站 -> 慧忠里,route,"""fee""=>""yes"",""from""=>""西山林语公交场站"",""name:zh""=>""518路：西山林语公交场站 -> 慧忠里"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:"
"56","2178067",135路：二里庄 -> 康家沟,route,"""fee""=>""yes"",""from""=>""二里庄"",""name:zh""=>""135路：二里庄 -> 康家沟"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""opening_h"
"57","2185838",609路：金庄 -> 西三旗,route,"""fee""=>""yes"",""from""=>""金庄"",""name:zh""=>""609路：金庄 -> 西三旗"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""opening_hours""="
"58","2200256",425路：小营公交场站 -> 南坞,route,"""fee""=>""yes"",""from""=>""小营公交场站"",""name:zh""=>""425路：小营公交场站 -> 南坞"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公"
"59","2252372",425路：南坞 -> 小营公交场站,route,"""fee""=>""yes"",""from""=>""南坞"",""name:zh""=>""425路：南坞 -> 小营公交场站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""openin"
"60","2296659",345路快车：朝凤庵村 -> 德胜门西,route,"""fee""=>""yes"",""from""=>""朝凤庵村"",""name:zh""=>""345路快车：朝凤庵村 -> 德胜门西"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公"
"61","2296748",885路：昌平何营 -> 德胜门西,route,"""fee""=>""yes"",""from""=>""昌平何营"",""name:zh""=>""885路：昌平何营 -> 德胜门西"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"62","3156087",632路：学府树公交场站 -> 五路,route,"""fee""=>""yes"",""from""=>""学府树公交场站"",""name:zh""=>""632路：学府树公交场站 -> 五路"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北"
"63","3156088",632路：五路 -> 学府树公交场站,route,"""fee""=>""yes"",""from""=>""五路"",""name:zh""=>""632路：五路 -> 学府树公交场站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""ope"
"64","3156260",328路：和平东桥 -> 龙泉驾校公交场站,route,"""fee""=>""yes"",""from""=>""和平东桥"",""name:zh""=>""328路：和平东桥 -> 龙泉驾校公交场站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北"
"65","3156261",328路：龙泉驾校公交场站 -> 和平东桥,route,"""fee""=>""yes"",""from""=>""龙泉驾校公交场站"",""name:zh""=>""328路：龙泉驾校公交场站 -> 和平东桥"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""netwo"
"66","3391366",919路快车：京张路口北 -> 德胜门西,route,"""fee""=>""yes"",""from""=>""京张路口北"",""name:zh""=>""919路快车：京张路口北 -> 德胜门西"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北"
"67","3391367",919路快车：德胜门西 -> 京张路口北,route,"""fee""=>""yes"",""from""=>""德胜门西"",""name:zh""=>""919路快车：德胜门西 -> 京张路口北"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京"
"68","3433770",919路：体育场小区 -> 地铁北土城站,route,"""fee""=>""yes"",""from""=>""体育场小区"",""name:zh""=>""919路：体育场小区 -> 地铁北土城站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北"
"69","3433771",919路：地铁北土城站 -> 体育场小区,route,"""fee""=>""yes"",""from""=>""地铁北土城站"",""name:zh""=>""919路：地铁北土城站 -> 体育场小区"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>"""
"70","3450157",345路：德胜门西 -> 昌平北站,route,"""fee""=>""yes"",""from""=>""德胜门西"",""name:zh""=>""345路：德胜门西 -> 昌平北站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"71","3450158",670路：德胜门西 -> 百善公交场站,route,"""fee""=>""yes"",""from""=>""德胜门西"",""name:zh""=>""670路：德胜门西 -> 百善公交场站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公"
"72","13946657",606路：大钟寺 -> 地铁霍营站南,route,"""fee""=>""yes"",""from""=>""大钟寺"",""name:zh""=>""606路：大钟寺 -> 地铁霍营站南"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"73","13946658",606路：地铁霍营站南 -> 大钟寺,route,"""fee""=>""yes"",""from""=>""地铁霍营站南"",""name:zh""=>""606路：地铁霍营站南 -> 大钟寺"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京"
"74","14188129",315路：新都东站 -> 大钟寺,route,"""fee""=>""yes"",""from""=>""新都东站"",""name:zh""=>""315路：新都东站 -> 大钟寺"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""ope"
"75","14188130",315路：大钟寺 -> 新都东站,route,"""fee""=>""yes"",""from""=>""大钟寺"",""name:zh""=>""315路：大钟寺 -> 新都东站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""openin"
"76","15908502",577路：东北旺中路 -> 二里庄,route,"""fee""=>""yes"",""from""=>""东北旺中路"",""name:zh""=>""577路：东北旺中路 -> 二里庄"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"
"77","15908503",577路：二里庄 -> 东北旺中路,route,"""fee""=>""yes"",""from""=>""二里庄"",""name:zh""=>""577路：二里庄 -> 东北旺中路"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""ope"
